Date,Open,High,Low,Close,Volume,- SPREAD -,
,,,,,,(High-Low),(Open-Close)
28-11-2018,237.85,240,221,223.85,7690,19,14
27-11-2018,243,243.2,225.65,235.15,6073,17.55,7.85
26-11-2018,249,252,236.65,238.8,5265,15.35,10.2
22-11-2018,254,254,236.2,241.05,13131,17.8,12.95
21-11-2018,230,244.3,222.15,242.6,16545,22.15,-12.6
20-11-2018,243.45,245.95,215.6,222.1,23314,30.35,21.35
19-11-2018,242.5,257.7,238,239.55,6851,19.7,2.95
16-11-2018,253.75,255.05,245,248.4,2507,10.05,5.35
15-11-2018,259,259,248.5,251.85,3566,10.5,7.15
14-11-2018,264.85,267.55,251,252.3,5467,16.55,12.55
13-11-2018,271.9,271.9,256.05,261.1,2642,15.85,10.8
12-11-2018,271.7,272.65,262,267.45,6722,10.65,4.25
09-11-2018,275,275,257.6,262.2,5945,17.4,12.8
07-11-2018,260,277,253,270.55,11564,24,-10.55
06-11-2018,268.8,268.8,251,258.7,5425,17.8,10.1
05-11-2018,260,274,251,255.4,5221,23,4.6
02-11-2018,276.4,276.4,261.75,262.65,6521,14.65,13.75
01-11-2018,277.75,279.9,265.1,269.8,7538,14.8,7.95
31-10-2018,279.9,282.8,253.1,273.4,14278,29.7,6.5
30-10-2018,243,266.85,243,266.85,23553,23.85,-23.85
29-10-2018,241.65,242.6,241.65,242.6,793,0.95,-0.95
26-10-2018,230,239.9,229,231.05,4216,10.9,-1.05
25-10-2018,234.15,243,227,234.5,14426,16,-0.35
24-10-2018,239,242.95,227.9,237.15,5190,15.05,1.85
23-10-2018,246,251.3,234.7,234.7,13970,16.6,11.3
22-10-2018,271,271.65,246.4,247.05,14386,25.25,23.95
19-10-2018,278.95,278.95,254,259.35,28753,24.95,19.6
17-10-2018,267,267.15,265,267.15,15261,2.15,-0.15
16-10-2018,252.95,254.45,247,254.45,5766,7.45,-1.5
15-10-2018,241.9,242.35,238,242.35,3977,4.35,-0.45
12-10-2018,228,230.85,218,230.85,7302,12.85,-2.85
11-10-2018,204.5,219.95,199.05,219.9,13152,20.9,-15.4
10-10-2018,201,209.5,201,209.5,6554,8.5,-8.5
09-10-2018,217,217,199.45,199.55,7322,17.55,17.45
08-10-2018,212,222,207.25,209.9,13507,14.75,2.1
05-10-2018,204.1,222.95,204.1,218.15,13082,18.85,-14.05
04-10-2018,217.35,224,213,213,15435,11,4.35
03-10-2018,234,234,224.2,224.2,18818,9.8,9.8
01-10-2018,249,249,235.95,235.95,17026,13.05,13.05
28-09-2018,261.5,261.5,248,248.35,5082,13.5,13.15
27-09-2018,266.9,267,260.25,261.05,3589,6.75,5.85
26-09-2018,268.95,268.95,251.1,264.6,9636,17.85,4.35
25-09-2018,263,272.45,261.9,261.9,8247,10.55,1.1
24-09-2018,293,293,275.6,275.65,5155,17.4,17.35
21-09-2018,283.2,295,269.8,290.1,19530,25.2,-6.9
19-09-2018,294.8,294.8,283.05,283.95,2740,11.75,10.85
18-09-2018,288,295.9,284,288.35,7475,11.9,-0.35
17-09-2018,297.5,297.8,278.15,291.4,15795,19.65,6.1
14-09-2018,303,303,288,289.25,4461,15,13.75
12-09-2018,284,299.9,284,292.25,7713,15.9,-8.25
11-09-2018,302,302,281.25,286.05,11864,20.75,15.95
10-09-2018,293.25,299,291.95,294.65,7044,7.05,-1.4
07-09-2018,292,299,290.2,296.7,5514,8.8,-4.7
06-09-2018,304.9,305,291,291.95,10148,14,12.95
05-09-2018,300,304,284.75,299.8,12302,19.25,0.2
04-09-2018,306.95,307,296,299.3,5555,11,7.65
03-09-2018,296.8,307.95,295.1,297.5,8701,12.85,-0.7
31-08-2018,309.7,309.7,295.25,301.45,5143,14.45,8.25
30-08-2018,300.15,307.45,293.65,297.25,7804,13.8,2.9
29-08-2018,305,310,295.8,301.4,8172,14.2,3.6
28-08-2018,312,312,302.45,308.6,6278,9.55,3.4
27-08-2018,311,317.9,306.5,309.95,5835,11.4,1.05
24-08-2018,300,314.5,291,311.7,28394,23.5,-11.7
23-08-2018,308,310,301.1,303.5,11287,8.9,4.5
21-08-2018,321,321.65,307.65,308.35,6721,14,12.65
20-08-2018,315,319.7,305,315.25,21230,14.7,-0.25
17-08-2018,298,304.5,290.55,304.5,10766,13.95,-6.5
16-08-2018,290.25,297.9,282.9,290,43145,15,0.25
14-08-2018,306,317.95,297.45,297.75,37166,20.5,8.25
13-08-2018,325.55,325.55,312.5,313.1,12354,13.05,12.45
10-08-2018,308,334.25,308,328.9,17032,26.25,-20.9
09-08-2018,318.3,330.1,318.3,318.35,23908,11.8,-0.05
08-08-2018,364,364,335.05,335.05,8830,28.95,28.95
07-08-2018,374.5,374.5,351.7,352.65,4693,22.8,21.85
06-08-2018,385,394.4,358.1,370.2,9898,36.3,14.8
